"Assistance Publique - Hôpitaux de Paris", 28
"National Institute of Allergy and Infectious Diseases (NIAID)", 19
"Assiut University", 15
"University Hospital, Montpellier", 15
"M.D. Anderson Cancer Center", 15
"Duke University", 13
"AstraZeneca", 11
"Ain Shams University", 11
"Columbia University", 10
"University Hospital, Toulouse", 10
"National Institutes of Health Clinical Center (CC)", 9
"University Hospital, Strasbourg, France", 9
"Stanford University", 9
"University Hospital Tuebingen", 8
"NYU Langone Health", 8
